Model,FPR,TPR,AUC
Logistic Regression,0.0,0.0,0.992831494822853
Logistic Regression,4.186321195493724e-05,0.006240786240786241,0.992831494822853
Logistic Regression,9.41922268986088e-05,0.011744471744471744,0.992831494822853
Logistic Regression,0.0001390456682788987,0.020884520884520884,0.992831494822853
Logistic Regression,0.00021679163333806787,0.026437346437346437,0.992831494822853
Logistic Regression,0.0002691206482817394,0.030466830466830467,0.992831494822853
Logistic Regression,0.0004993683140338943,0.033022113022113025,0.992831494822853
Logistic Regression,0.0005636582466789765,0.04058968058968059,0.992831494822853
Logistic Regression,0.0006055214586339136,0.054987714987714986,0.992831494822853
Logistic Regression,0.0006473846705888509,0.06137592137592138,0.992831494822853
Logistic Regression,0.0006832674236930829,0.08727272727272728,0.992831494822853
Logistic Regression,0.0007161599473719621,0.10609336609336609,0.992831494822853
Logistic Regression,0.000761013388752252,0.12697788697788698,0.992831494822853
Logistic Regression,0.0007954010271438077,0.14206388206388207,0.992831494822853
Logistic Regression,0.0008492251568001555,0.1485995085995086,0.992831494822853
Logistic Regression,0.0008851079099043874,0.16496314496314496,0.992831494822853
Logistic Regression,0.0009269711218593247,0.17567567567567569,0.992831494822853
Logistic Regression,0.0009643489896762329,0.19425061425061424,0.992831494822853
Logistic Regression,0.0010017268574931413,0.26638820638820637,0.992831494822853
Logistic Regression,0.0010376096105973731,0.2907125307125307,0.992831494822853
Logistic Regression,0.001086948396115692,0.3052088452088452,0.992831494822853
Logistic Regression,0.0011392774110593636,0.31316953316953317,0.992831494822853
Logistic Regression,0.0011931015407157114,0.32,0.992831494822853
Logistic Regression,0.0012394500968086776,0.3256019656019656,0.992831494822853
Logistic Regression,0.0013037400294537598,0.33090909090909093,0.992831494822853
Logistic Regression,0.0013530788149720787,0.33592137592137594,0.992831494822853
Logistic Regression,0.001399427371065045,0.3434889434889435,0.992831494822853
Logistic Regression,0.0014427856977326586,0.35538083538083537,0.992831494822853
Logistic Regression,0.0014876391391129484,0.36737100737100736,0.992831494822853
Logistic Regression,0.0015324925804932384,0.37695331695331696,0.992831494822853
Logistic Regression,0.0015773460218735282,0.4022604422604423,0.992831494822853
Logistic Regression,0.0016192092338284654,0.4410810810810811,0.992831494822853
Logistic Regression,0.001671538248772137,0.4495823095823096,0.992831494822853
Logistic Regression,0.001711906346014398,0.45375921375921374,0.992831494822853
Logistic Regression,0.0017642353609580695,0.4603931203931204,0.992831494822853
Logistic Regression,0.0018599227025693547,0.46343980343980345,0.992831494822853
Logistic Regression,0.0019212224057890842,0.4673710073710074,0.992831494822853
Logistic Regression,0.0019780367648707846,0.47336609336609337,0.992831494822853
Logistic Regression,0.0020318608945271324,0.47714987714987717,0.992831494822853
Logistic Regression,0.0020946557124595384,0.4797051597051597,0.992831494822853
Logistic Regression,0.0021439944979778575,0.4838329238329238,0.992831494822853
Logistic Regression,0.0021948283982088524,0.4879115479115479,0.992831494822853
Logistic Regression,0.0022486525278652006,0.49125307125307127,0.992831494822853
Logistic Regression,0.0023084571163722537,0.494987714987715,0.992831494822853
Logistic Regression,0.0023577959018905724,0.49945945945945946,0.992831494822853
Logistic Regression,0.0024400272110877705,0.5018673218673219,0.992831494822853
Logistic Regression,0.002495346455456795,0.5056511056511056,0.992831494822853
Logistic Regression,0.0025476754704004665,0.508943488943489,0.992831494822853
Logistic Regression,0.002604489829482167,0.5120393120393121,0.992831494822853
Logistic Regression,0.002676255335690631,0.5146437346437347,0.992831494822853
Logistic Regression,0.002767457333163887,0.5177395577395577,0.992831494822853
Logistic Regression,0.002839222839372351,0.5205405405405406,0.992831494822853
Logistic Regression,0.0029065030014427855,0.5254054054054054,0.992831494822853
Logistic Regression,0.0029722880488005443,0.5295331695331695,0.992831494822853
Logistic Regression,0.0030291024078822446,0.5355282555282556,0.992831494822853
Logistic Regression,0.0030784411934005637,0.542997542997543,0.992831494822853
Logistic Regression,0.003147216470183675,0.5464864864864865,0.992831494822853
Logistic Regression,0.0032369233529442546,0.5485012285012285,0.992831494822853
Logistic Regression,0.0032967279414513077,0.5513513513513514,0.992831494822853
Logistic Regression,0.0033864348242118878,0.5537100737100737,0.992831494822853
Logistic Regression,0.0034985684276626124,0.5557739557739557,0.992831494822853
Logistic Regression,0.003615187375251366,0.5576412776412777,0.992831494822853
Logistic Regression,0.0036974186844485643,0.5595577395577396,0.992831494822853
Logistic Regression,0.003966539332730304,0.5616707616707617,0.992831494822853
Logistic Regression,0.004042790183076797,0.5644226044226044,0.992831494822853
Logistic Regression,0.004497305055730401,0.5661425061425062,0.992831494822853
Logistic Regression,0.004628875150445918,0.5694840294840294,0.992831494822853
Logistic Regression,0.004893510454589628,0.5726781326781327,0.992831494822853
Logistic Regression,0.005005644058040353,0.5755282555282555,0.992831494822853
Logistic Regression,0.005084885137812198,0.5778378378378378,0.992831494822853
Logistic Regression,0.005201504085400952,0.5801474201474202,0.992831494822853
Logistic Regression,0.00527177447689674,0.5826535626535626,0.992831494822853
Logistic Regression,0.005352510671381262,0.585012285012285,0.992831494822853
Logistic Regression,0.005446702898279871,0.5872727272727273,0.992831494822853
Logistic Regression,0.005527439092764392,0.5891400491400491,0.992831494822853
Logistic Regression,0.005633592237364412,0.5912039312039312,0.992831494822853
Logistic Regression,0.005736755152539078,0.5933169533169533,0.992831494822853
Logistic Regression,0.005826462035299658,0.595921375921376,0.992831494822853
Logistic Regression,0.005922149376910943,0.5979361179361179,0.992831494822853
Logistic Regression,0.006011856259671523,0.6001965601965602,0.992831494822853
Logistic Regression,0.006109038715995485,0.6026535626535626,0.992831494822853
Logistic Regression,0.006207716287032122,0.605061425061425,0.992831494822853
Logistic Regression,0.006286957366803968,0.6069287469287469,0.992831494822853
Logistic Regression,0.006378159364277224,0.6101719901719902,0.992831494822853
Logistic Regression,0.006451419985198365,0.6128255528255528,0.992831494822853
Logistic Regression,0.0065575731297983835,0.614987714987715,0.992831494822853
Logistic Regression,0.0066323288654322006,0.6182800982800983,0.992831494822853
Logistic Regression,0.0067384820100322195,0.6212776412776413,0.992831494822853
Logistic Regression,0.006790811024975891,0.6243243243243243,0.992831494822853
Logistic Regression,0.0069089250872773214,0.6285995085995086,0.992831494822853
Logistic Regression,0.006991156396474519,0.6314004914004914,0.992831494822853
Logistic Regression,0.007058436558544955,0.6337100737100737,0.992831494822853
Logistic Regression,0.007302140256711196,0.6355773955773956,0.992831494822853
Logistic Regression,0.00737390576291966,0.6376412776412776,0.992831494822853
Logistic Regression,0.007469593104530945,0.6398034398034398,0.992831494822853
Logistic Regression,0.007557804872578849,0.6424570024570024,0.992831494822853
Logistic Regression,0.007637045952350694,0.6446191646191646,0.992831494822853
Logistic Regression,0.0077611404735028295,0.6464864864864864,0.992831494822853
Logistic Regression,0.007850847356263409,0.6519410319410319,0.992831494822853
Logistic Regression,0.007967466303852163,0.6551842751842751,0.992831494822853
Logistic Regression,0.008052687842474714,0.6605405405405406,0.992831494822853
Logistic Regression,0.008215655346156434,0.6643243243243243,0.992831494822853
Logistic Regression,0.00830685734362969,0.6668304668304669,0.992831494822853
Logistic Regression,0.008377127735125478,0.6701228501228501,0.992831494822853
Logistic Regression,0.008439922553057883,0.6716461916461917,0.992831494822853
Logistic Regression,0.008490756453288879,0.6758722358722359,0.992831494822853
Logistic Regression,0.008578968221336782,0.6781818181818182,0.992831494822853
Logistic Regression,0.00866568487467201,0.6854545454545454,0.992831494822853
Logistic Regression,0.00875090641329456,0.6872235872235872,0.992831494822853
